programa|-1|-1|1
xyz|-55|-2|1
var|-15|-1|2
entero|-11|-1|3
a|-51|-2|3
b|-51|-2|3
c|-51|-2|3
;|-75|-1|3
real|-12|-1|4
x|-52|-2|4
y|-52|-2|4
;|-75|-1|4
logico|-14|-1|5
z|-54|-2|5
;|-75|-1|5
string|-53|-1|6
m|-53|-2|6
;|-75|-1|6
inicio|-2|-1|7
a|-51|-2|8
=|-26|-1|8
20|-61|-1|8
+|-24|-1|8
(|-73|-1|8
b|-51|-2|8
*|-21|-1|8
c|-51|-2|8
)|-74|-1|8
;|-75|-1|8
y|-52|-2|9
=|-26|-1|9
x|-52|-2|9
/|-22|-1|9
10.2|-62|-1|9
;|-75|-1|9
z|-54|-2|10
=|-26|-1|10
(|-73|-1|10
a|-51|-2|10
<=|-32|-1|10
b|-51|-2|10
)|-74|-1|10
&&|-41|-1|10
(|-73|-1|10
c|-51|-2|10
==|-35|-1|10
b|-51|-2|10
)|-74|-1|10
;|-75|-1|10
m|-53|-2|11
=|-26|-1|11
"hola"|-63|-1|11
;|-75|-1|11
fin|-3|-1|12
